Prod Numb,Product Code,Description,Actv,Allerg 1,Allerg 2,Allerg 3,Allerg 4,Allerg 5,Allerg 6,Allerg 7,Allerg 8,Allerg 9
="00077",SUPAMZLBL84,LABEL MUSTARD RED WINE              EACH,N
="00078",SUPAMZLBL83,BLACK OLIVE PASTE LABEL             EACH,N
="00079",SUPAMZLBL82,CITRUS DRESSING LABEL               EACH,N
="00080",SUPAMZLBL81,YELLOW CURRY PASTE LABEL            EACH,N
="00081",SUPAMZLBL80,BALSAMIC VINEGAR LABEL              EACH,N
="00082",SUPAMZLBL79,CHERMOULA PASTE LABEL               EACH,N
="00083",SUPAMZLBL78,LABEL ROASTED YELLOW TOMATO         EACH,N
="00085",SUPAMZLBL65,KIMCHI LABEL                        EACH,N
="00086",SUPAMZLBL64,LABEL SCALLIONS                     EACH,N
="00087",SUPAMZLBL63,FLOUR TORTILLA LABEL                EACH,N
="00088",SUPAMZLBL62,SESAME OIL 10 G LABEL               EACH,N
="00089",SUPAMZLBL61,SEASONED SEAWEED LABEL              EACH,N
="00090",SUPAMZLBL60,LABEL MEASURING CUP 1 1/2 CUP  2500/ROLL,N
="00091",SUPAMZLBL59,LABEL MASCARPONE CHEESE             EACH,N
="00092",SUPAMZLNL58,SOUR CREAM 40 G LABEL               EACH,N
="00093",SUPAMZLBL57,LABEL MIRIN SOY                     EACH,N
="00094",SUPAMZLBL56,CURRY PASTE LABEL                   EACH,N
="00095",SUPAMZLBL55,CHILI GARLIC SAUCE LABEL            EACH,N
="00096",SUPAMZKBL54,GINGER PUREE 20 GRAM LABEL          EACH,N
="00097",SUPAMZLBL53,KALAMATA OLIVE LABEL                EACH,N
="00098",SUPAMZLBL52,GOCHUJANG SAUCE LABEL               EACH,N
="00099",SUPGRIZCOOL,GRIZZLY COOLER                      EACH,Y
="00100",SUPMISCNUMBR,SUPPLIES MISC. NUMBER,Y
="00101",SUPAMZLBL51,BULGOGI SAUCE LABEL                 EACH,N
="00102",SUPAMZLBL50,HAVARTI CHEESE LABEL                EACH,N
="00103",SUPAMZLBL49,EGGPLANT DIP LABEL                  EACH,N
="00104",SUPAMZLBL48,WHITE MISO PASTE LABEL              EACH,N
="00105",TEST,TEST RAW PRODUCTs               8/1 CASE,Y,ALMOND,EGGS,WALNUT,WHEAT
="00106",TEST5,TEST RAW PRODUCTS                   CASE,Y
="00107",SUPAMZLBL47,HALLOUMI CHEESE LABEL               EACH,N
="00108",SUPAMZLBL46,GINGER SUSHI LABEL                  EACH,N
="00109",SUPSMZLBL45,SEMSAME OIL 10 G LABEL              EACH,N
="00110",SUPAMZLBL44,SESAME OIL 5 G LABEL                EACH,N
="00111",SUPAMZLBL43,LABEL EGG 1CT                       EACH,N
="00112",SUPAMZLBL42,LABEL PITA BREAD                    EACH,Y
="00113",SUPAMZLBL41,LABEL BABY CORN MIX                 EACH,N
="00114",SUPAMZLBL40,EDAMAME LABEL                       EACH,N
="00115",SUPAMZLBL29,PICKLED JALAPENO LABEL              EACH,N
="00116",SUPAMZLBL28,CILANTRO CHUTNEY 70 G LABEL         EACH,N
="00117",SUPAMZLBL27,PEPPERONCINI LABEL                  EACH,N
="00118",SUPSMZLBL26,MOZZARELLA CHEESE LOG LABEL         EACH,N
="00119",SUPAMSLBL25,TORTILLA WHITE FLOUR LABEL          EACH,N
="00120",SUPAMZLBL15,LABEL CAPERS                        EACH,N
="00121",PP-TEST,LETTUCE BAG 11X81/4X31/2         PK 1000,N
="00122",SUPAMZLBL16,CAPER CORNICHON LABEL               EACH,N
="00123",SUPAMZLBL17,SWEET PETITE YELLOW PEPPER LBL      EACH,N
="00124",SUPAMZLBL18,TOFU LABEL                          EACH,N
="00125",SUPAMZLBL19,ARTICHOKE LABEL                     EACH,N
="00126",SUPAMZLBL20,BASIL PESTO LABEL                   EACH,N
="00127",SUPAMZLBL21,GREEN OLIVE LABEL                   EACH,N
="00128",SUPAMZLBL22,SHERRY WINE VINEGAR                 EACH,N
="00129",SUPAMZLBL23,ROASTED RED PEPPER LABEL            EACH,N
="00130",SUPAMZLBL1,LABEL CREAM SAUCE                   EACH,N
="00131",SUPAMZLBL2,STRAINED TOMATO LABEL               EACH,N
="00132",SUPAMZLBL3,MARINARA SAUCE LABEL                EACH,N
="00133",SUPAMZLBL4,LABEL PEAS                          EACH,N
="00134",SUPAMZLBL5,LABEL CORN                          EACH,N
="00135",SUPAMZLBL6,LABEL GREEN PEPPERCORN              EACH,N
="00136",SUPAMZLBL7,LABEL BRIOCHE BUNS                  EACH,N
="00137",SUPAMZLBL8,LABEL ROASTED YELLOW PEPPERS        EACH,N
="00138",SUPAMZLBL9,CILANTRO CHUTNEY LABEL              EACH,N
="00139",SUPAMZLBL10,GINGER PUREE LABEL                  EACH,N
="00140",SUPCITBINLID,BIN LID CITRUS                      EACH,Y
="00141",SUPCITRUSBIN,BIN EMPTY CITRUS                    EACH,Y
="00142",SUPAMZLBL11,LABEL FISH SAUCE                    EACH,N
="00143",SUPAMZLBL12,TAMARIND LABEL                      EACH,N
="00144",SUPAMZLBL13,LABEL RICOTTA CHEESE                EACH,N
="00145",SUPAMZLBL14,COCONUT AMINOS LABEL                EACH,N
="00146",SUPAMZLBL30,LABEL GROUND TOMATO                 EACH,N
="00147",SUP16SFOAMTR,FOAM 16S BLACK TRAY CASE          250 CT,N
="00148",SUPSTRCH19",REPACK 19"X4000' FILM              4000',N
="00149",SUPSTRCH19/4,19" PRODUCE STRETCH FILM          1/ROLL,N
="00150",SUP18SPRSLR,SUPER SEALER 18 INCH                EACH,Y
="00151",SUPCFPO12X5,X75 GA POLY FILM 12INCH/500'    CFPO12X5,Y
="00152",SUPCFPO15X5,X75 GA POLY FILM 15 INCH/500'   CFP015X5,Y
="00153",SUPCFPO18X5,X75 GA POLY FILM 18 INCH/500'   CFP018X5,Y
="00154",SUP60GA18",FILM C FOLD 4375FT                   18",N
="00155",SUPSTRCH15/5,FILM 16" SA363-16-45          4500'/ROLL,Y
="00156",SUP15X5000RP,*FILM 15" 77912-15                1 FOOT,Y
="00157",SUP16STRAY,TRAY 16S BLACK FOAM             250/CASE,N
="00158",SUPPZEBWASEA,ZEBRA WAX CSO 2.52 X 1476 4085      EACH,Y
="00159",SUPCP5ADAYBG,BAG CP LG 12X20                1500/CASE,Y
="00160",SUPCPPRBG750,BAG CP 5 A DAY ROLL 14X18          4/750,Y
="00161",SUP11CLEALID,11" CLEAR LID                       1 CT,N
="00162",SUPLBL4X3ORA,LABEL 4X3 ORANGE                    EACH,Y
="00163",SUPLBL4X3YEL,LABEL 4X3 YELLOW                    EACH,Y
="00164",SUPLBL4X3RED,LABEL 4X3 RED                       EACH,Y
="00165",SUPLBL4X3PUR,LABEL 4X3 PURPLE                    EACH,Y
="00166",SUPLBL4X3GRN,LABEL 4X3 GREEN                     EACH,Y
="00167",SUPLBL4X3PIN,LABEL 4X3 PINK                      EACH,Y
="00168",SUP11SHRINKB,11" SHRINK BAND                     1 CT,N
="00169",SUPTWSTTYPK,TWISTEASE TY-PACK WHITE           1/4 PK,Y
="00170",SUPCPFRCNBG,BAG CROWN POLY CORN/YAM           6/1260,Y
="00171",SUPEUROBOX,**BOX 21X17X13-3/4                 125/P,N
="00172",SUPTOILETPAP,11x17 PRINTER PAPER             40CS/PAL,Y
="00173",SUP11BLACKTR,11" BLACK TRAY                      1 CT,N
="00174",SUPPAPTOWELS,TOWEL HARDROLL 10"X600'           6/CASE,Y
="00175",SUP11X10BAGC,BAGS CLEAR 11X10X4                  EACH,Y
="00176",SUPAPPTRY96,96'S APPLE TRAYS                  125 CT,Y
="00177",SUPBLKAPTRAY,80'S APPLE TRAYS FIBER             85 CT,Y
="00178",SUPAPPTRY60,60'S APPLE TRAYS                  125 CT,N
="00179",SUPBLKFOAMTR,85'S APPLE TRAYS FOAM             125 CT,Y
="00181",SUPSTRCH17",FILM 16" SA-363-45                1 FOOT,Y
="00182",SUPLBAR1FT90,*L BAR 90G 18"                    1 FOOT,N
="00183",SUP4COMTRAY,TRSB295.30.15.5 4 COMP TRAY    4000/CASE,N
="00184",SUPDELIPAPER,DELI WRAP PAPER                12/500 CT,Y
="00186",SUPTTMSQ24OZ,TTM:SQRD-24 SQ 24OZ            1200/CASE,N
="00187",SUPSQRDDLCUP,TTM:SQRD-8 SQ 8OZ              1200/CASE,N
="00188",SUPSQRNDDELI,TTM:SQRD-16 SQ 16OZ            1200/CASE,N
="00189",SUPSQRNDDELC,TTM:SQRD-10 SQ 10OZ            1200/CASE,N
="00190",SUPSQRDDELI,TTM:SQRD-12 SQ 12OZ            1200/CASE,N
="00191",SUPSQRNLID,TTM:SQRD-TEL TAMPER LID        1200/CASE,N
="00196",SUPPECNUT1OZ,PECAN HALVES                        1 OZ,N
="00197",SUPDRYGAR1OZ,DRY GARLIC 1 OZ.                    1 OZ,N
="00198",SUPWHTPEP1OZ,WHITE PEPPER                        1 OZ,Y
="00199",SUPTROFFBG,BAGS LARGE TEAR-OFF 12x20      1500/CASE,N
="00200",SUPPLTCOVR36,PALLET BLANKET 36 INCH              EACH,N
="00201",SUPPLVCOVR48,PALLET BLANKET 48 INCH              EACH,N
="00202",SUPPLTCOVR60,PALLET BLANKET 60 INCH              EACH,N
="00203",SUPLBAR19IN,L BAR 90G 19" 1900FT              1 FOOT,N
="00204",SUPPLTCOVR72,PALLET BLANKET 72 INCH              EACH,Y
="00205",SUPSPILVTBGS,RUBBER BANDS BAGS                1000 CT,N
="00206",SUPHOMTOT5#,5# HOME TOTERS                   500 PKG,Y
="00207",SUP1/2PKGRPH,BAGS CLEAR 11x10x4                250 CT,Y
="00208",SUPHOMTOT10#,10# HOME TOTER                  250/CASE,Y
="00209",SUPRIPEBAG,BAGS VINE ON TOMATO                 EACH,Y
="00210",SUPWHHMTOT10,Super One Apple Tote Bag         200 PKG,Y
="00211",SUPBLKTRYEAC,1-EACH BLK APPLE TRAY               EACH,N
="00213",SUPSAGEDISPL,HALO BIN WRAPS                      EACH,Y
="00214",SUPAPPSLEEVE,POM DISPLAY BIN                     EACH,N
="00215",SUPHALOBASE,BIN HALO SWEETEST BIN               1 CT,Y
="00216",SUP1/2FLTNET,1/2 FLAT NET COVERS               500 CT,N
="00217",SUPAPPLEBINS,BIN DISPLAY SWEETIE APPLE           EACH,Y
="00218",SUPMAPLBTR,MAPLE BUTTER                      1.5 OZ,N,MILK
="00219",BRADUMPBINS2,DISPLAY HALO ORCHARD TREE           EACH,Y
="00220",SUPPANKO,PANKO BREADCRUMBS PORTION CUP       1 OZ,Y,WHEAT
="00221",SUPLEMGAROIL,LEMON GARLIC OLIVE OIL              2 OZ,Y
="00222",BRACOYBAG500,CANDY BAGS #99813 PAPER           500 CT,N
="00223",BRAROLLBG800,FRUIT BASKET POSTER                 EACH,Y
="00224",SUPTUMER1OZ,TURMERIC 1 OZ.                      1 OZ,N
="00225",BRADUMPBINS,HONEYGLOW POSTER                    EACH,Y
="00226",SUPPRODBIN,HIGH GRAPHIC PROD BIN 47X38X28      EACH,N
="00227",SUPPMARZDISP,MARZETTI SINGLE SERVE DISPLAY       EACH,Y
="00228",SUPPEACHPOW1,PEACH POWDER 1 OZ.                  1 OZ,N
="00229",AVODISPYPOS,AVO BIN FOOTBL DOUBLE               EACH,Y
="00230",AVOSBOWLDPLY,DISPLAY AVOCADO TOWER               EACH,N
="00231",SUPLAB4X6REM,LABEL 4X6 REMOVEABLE GREEN     4000/CASE,Y
="00232",SUPLABPKRM46,LABEL 4X6 REMOVEABLE PINK      4000/CASE,Y
="00233",SUPGRNLBL2X3,LABEL 2X3 GREEN                     CASE,N
="00234",SUPLABORAN,LABEL $10 ORANGE CIRCLE        5000/ROLL,Y
="00235",SUPCHMI1OZ,CHIMICHURRI SAUCE                 1.1 OZ,N
="00236",SUPONPWR10Z,ONION POWDER                        1 OZ,Y
="00237",SERWADFRESH,WA - INSURANCE CLAIM,Y
="00238",SERJAMFRESH,JA - INSURANCE CLAIM,Y
="00239",SERMERFRESH,ML - INSURANCE CLAIM,Y
